Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,Link
1,Manchester City (C),38,32,2,4,95,23,72,98,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/Manchester_City_F.C.
2,Liverpool,38,30,7,1,89,22,67,97,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/Liverpool_F.C.
3,Chelsea,38,21,9,8,63,39,24,72,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/Chelsea_F.C.
4,Tottenham Hotspur,38,23,2,13,67,39,28,71,Qualification for the Champions League group stage,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.
5,Arsenal,38,21,7,10,73,51,22,70,Qualification for the Europa League group stage[a],https://en.wikipedia.org/wiki/Arsenal_F.C.
6,Manchester United,38,19,9,10,65,54,11,66,Qualification for the Europa League group stage[a],https://en.wikipedia.org/wiki/Manchester_United_F.C.
7,Wolverhampton Wanderers,38,16,9,13,47,46,1,57,Qualification for the Europa League second qualifying round[a],https://en.wikipedia.org/wiki/Wolverhampton_Wanderers_F.C.
8,Everton,38,15,9,14,54,46,8,54,,https://en.wikipedia.org/wiki/Everton_F.C.
9,Leicester City,38,15,7,16,51,48,3,52,,https://en.wikipedia.org/wiki/Leicester_City_F.C.
10,West Ham United,38,15,7,16,52,55,-3,52,,https://en.wikipedia.org/wiki/West_Ham_United_F.C.
11,Watford,38,14,8,16,52,59,-7,50,,https://en.wikipedia.org/wiki/Watford_F.C.
12,Crystal Palace,38,14,7,17,51,53,-2,49,,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
13,Newcastle United,38,12,9,17,42,48,-6,45,,https://en.wikipedia.org/wiki/Newcastle_United_F.C.
14,Bournemouth,38,13,6,19,56,70,-14,45,,https://en.wikipedia.org/wiki/A.F.C._Bournemouth
15,Burnley,38,11,7,20,45,68,-23,40,,https://en.wikipedia.org/wiki/Burnley_F.C.
16,Southampton,38,9,12,17,45,65,-20,39,,https://en.wikipedia.org/wiki/Southampton_F.C.
17,Brighton & Hove Albion,38,9,9,20,35,60,-25,36,,https://en.wikipedia.org/wiki/Brighton_%26_Hove_Albion_F.C.
18,Cardiff City (R),38,10,4,24,34,69,-35,34,Relegation to the EFL Championship,https://en.wikipedia.org/wiki/Cardiff_City_F.C.
19,Fulham (R),38,7,5,26,34,81,-47,26,Relegation to the EFL Championship,https://en.wikipedia.org/wiki/Fulham_F.C.
20,Huddersfield Town (R),38,3,7,28,22,76,-54,16,Relegation to the EFL Championship,https://en.wikipedia.org/wiki/Huddersfield_Town_A.F.C.
